id,sample_reason,category,contract,clause_text,target,rubric_aggregate,rubric_structure_ok,rubric_groundedness,rubric_length_ok,rubric_no_contradiction,reviewer_verdict,reviewer_notes
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement__Affiliate License-Licensee_2,random,Affiliate License-Licensee,GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement,"Hence, as of the Distribution Date, SpinCo hereby grants, and agrees to cause the members of the SpinCo Group to hereby grant, to Honeywell and the members of the Honeywell Group a non-exclusive, royalty-free, fully-paid, perpetual, sublicenseable (solely to Subsidiaries and suppliers for ""have made"" purposes), worldwide license to use and exercise rights under the SpinCo Shared IP (excluding Trademarks and the subject matter of any other Ancillary Agreement), said license being limited to use of a similar type, scope and extent as used in the Honeywell Business prior to the Distribution Date and the natural growth and development thereof.","Issue: Scope of License Grant in Affiliate License-Licensee Agreements

Rule: In affiliate license-licensee agreements, the granting party must clearly define the scope, exclusivity, and limitations of the license to ensure compliance with antitrust laws and to avoid potential misuse of intellectual property.

Application: The clause grants Honeywell and its affiliates a non-exclusive, royalty-free, fully-paid, perpetual, and sublicenseable license to use the SpinCo Shared IP, excluding Trademarks and other ancillary agreements. The license is limited to similar use as in the Honeywell Business prior to the Distribution Date and its natural growth. This restriction ensures that the license does not exceed the scope of the pre-Distribution use, aligning with the principle of not diluting the value of the licensed IP.

Conclusion: The clause effectively limits the license to the pre-existing use and natural growth of the Honeywell Business, thereby avoiding potential antitrust issues and ensuring the license remains within a reasonable and defined scope.",1.0,1.0,1.0,1.0,1.0,minor_issue,"Scope summary is accurate, but the Rule and Conclusion both hang the analysis on antitrust compliance, which is nowhere in the clause and is not what a field-of-use limitation in an IP separation agreement is doing. Irrelevant legal frame grafted onto a correct reading."
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT__Source Code Escrow_2,low_rubric_score,Source Code Escrow,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,This,"Issue: What obligations does this clause impose on the parties regarding source code escrow?

Rule: In software licensing and development contracts, source code escrow clauses are designed to ensure that the source code remains accessible in the event of a default by the licensor or developer. The clause typically obligates the licensor to deposit the source code with an escrow agent to be released under certain conditions.

Application: The clause text provided is incomplete and does not specify the obligations of the parties. It lacks details such as who is responsible for depositing the source code, the conditions under which the code can be released, and the identity of the escrow agent. Without these specifics, the clause does not clearly define the parties' obligations.

Conclusion: The incomplete nature of the clause makes it unclear how the parties' obligations regarding source code escrow are to be fulfilled.",0.75,1.0,0.0,1.0,1.0,bad,"Clause text is the single word 'This'. The target's own Application admits there is nothing to analyze, which is the honest answer but makes the row unusable - it teaches four paragraphs of output for an empty input. Drop the row and fix the upstream chunker."
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT__Anti-Assignment_1,random,Anti-Assignment,BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT,Distributor shall not assign this Agreement or any rights or obligations hereunder without the prior written consent of the Company.,"Issue: The legality and enforceability of a clause prohibiting the assignment of contractual rights without consent.

Rule: Under general contract law, parties may include provisions to restrict or prohibit the assignment of their rights and obligations under a contract. Such provisions are enforceable as long as they do not violate public policy or statutory prohibitions.

Application: The clause in question prohibits the Distributor from assigning the Agreement or any rights or obligations under it without the Company's prior written consent. This aligns with the general principle that parties can restrict the transferability of their rights and obligations. The requirement for prior written consent ensures that the Company retains control over who can benefit from the Distributor's rights under the Agreement.

Conclusion: The clause is enforceable as it restricts the Distributor's ability to assign the Agreement without the Company's consent, which is a valid contractual term under general contract law principles.",1.0,1.0,1.0,1.0,1.0,good,Accurate and appropriately brief for a standard consent-to-assign provision.
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT__Cap On Liability_1,low_rubric_score,Cap On Liability,CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,The foregoing are         Corio's sole and exclusive remedies for breach of product warranty.,"Issue: The scope and effect of a cap on liability clause in a contract.

Rule: A cap on liability clause typically limits the maximum amount of damages a party can recover from the other party, and it often serves to exclude or limit remedies for breach of warranty.

Application: The clause states that the remedies for breach of product warranty are ""Corio's sole and exclusive remedies."" This language suggests that the remedies are limited to those specifically mentioned and do not include any other remedies that might be available under general contract law or other provisions of the contract. It effectively caps the remedies for breach of warranty to the ones explicitly stated, thereby limiting Corio's recourse in case of a breach.

Conclusion: The clause restricts Corio's remedies for product warranty breaches to only those explicitly stated, thus limiting the extent of liability for the breaching party.",0.75,1.0,0.0,1.0,1.0,minor_issue,Conflates two distinct concepts. This is an exclusive-remedies provision; a cap on liability limits the amount recoverable. The Rule blends them ('a cap on liability ... often serves to exclude or limit remedies'). The reading of the clause itself is right.
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT__Non-Transferable License_1",low_rubric_score,Non-Transferable License,"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT","Subject to the terms and conditions of this Agreement, Arizona hereby grants to the Company a limited, non- exclusive, royalty-free, non-sublicensable (except as set forth in Section 7.1), non-assignable (except as set forth in Section 13.2) license in, to and under the Diamond Licensed Trademarks for the Diamond Trademark License Term for use with respect to the Diamond Product throughout the world only in the form and manner set forth on Schedule 6.2.","Issue: What does the ""non-assignable"" clause imply in the context of the license granted by Arizona to the Company?

Rule: In contract law, a non-assignable clause restricts the transferability of a contract or a right under a contract to a third party without the consent of the other party. This ensures that the rights and obligations under the contract remain with the original parties.

Application: The clause states that the license is ""non-assignable (except as set forth in Section 13.2)."" This means that the Company cannot transfer its rights to use the Diamond Licensed Trademarks to another party without Arizona's explicit consent. However, the clause allows for exceptions as detailed in Section 13.2, which must be consulted to understand the specific conditions under which assignment is permitted.

Conclusion: The ""non-assignable"" clause in the contract ensures that the Company cannot unilaterally transfer its rights to use the Diamond Licensed Trademarks to another entity, thereby maintaining Arizona's control over who can use these trademarks.",0.75,1.0,0.0,1.0,1.0,good,Accurate. Correctly reads the non-assignable restriction and the Section 13.2 exception without over-claiming what that section says.
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT__Minimum Commitment_0,low_rubric_score,Minimum Commitment,ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,"Quantity of capacity to be released: Max 13,370 Dfli/Day,                                Min 13,370 DthDay.","Issue: The interpretation of minimum commitment clause in a contract.

Rule: Minimum commitment clauses typically establish the least amount of service or product that must be provided or used by the parties under the contract. These clauses are enforceable as long as they are clear and unambiguous.

Application: The clause specifies a minimum commitment of 13,370 Dfli/Day and 13,370 DthDay. The use of ""Max"" and ""Min"" terms is unusual and potentially confusing. The clause likely intends to set a minimum quantity requirement for the service or product to be provided, but the inclusion of ""Max"" before the minimum quantity may lead to ambiguity.

Conclusion: The clause should be clarified to remove the ""Max"" term and to specify that it sets the minimum quantity commitment for both Dfli/Day and DthDay.",0.75,1.0,0.0,1.0,1.0,minor_issue,"Conclusion gives wrong advice. Max = Min = 13,370 is a fixed release quantity, which is meaningful, not an error to be 'clarified' by removing 'Max'. Also misses that 'Dfli/Day' vs 'DthDay' is an OCR artifact of Dth/Day. Note: this clause is duplicated in the sample under Volume Restriction."
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement__Joint Ip Ownership_1,random,Joint Ip Ownership,LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement,described and mutually agreed in writing as                            amendments to this Agreement.,"Issue: The clarity and enforceability of the joint IP ownership clause.

Rule: Contract law requires clear and unambiguous terms to ensure the mutual understanding and enforceability of the agreement. Joint ownership of intellectual property typically requires a written description of the contributions and rights of each party.

Application: The clause as written is incomplete and lacks specificity. It merely refers to ""amendments to this Agreement"" without defining what those amendments entail. This vagueness could lead to disputes regarding the scope of joint ownership.

Conclusion: The clause needs to be revised to include a clear description of the joint IP ownership, including the specific contributions of each party, to ensure clarity and enforceability.",1.0,1.0,1.0,1.0,1.0,bad,"Clause is a trailing fragment ('described and mutually agreed in writing as amendments to this Agreement.') with no joint-ownership content. Target correctly says it is incomplete, but then produces drafting recommendations for a clause it cannot see. Unusable row; rubric scored it 1.0, which is a clear rubric miss."
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT__Irrevocable Or Perpetual License_0",low_rubric_score,Irrevocable Or Perpetual License,"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",(c) the licenses granted to Ginkgo from BLI in Section 9.1.1 (Scope of Grants) and 9.1.2 (License Grant to Exploit [***]) shall survive and become perpetual and irrevocable;,"Issue: Whether a license granted in a contract can be described as irrevocable and perpetual.

Rule: Under contract law, a license is a grant of permission to use intellectual property or other assets. For a license to be considered irrevocable and perpetual, it must explicitly state that it will survive the termination of the contract and remain in effect indefinitely without the licensor's ability to revoke it.

Application: The clause explicitly states that the licenses granted to Ginkgo from BLI shall ""survive and become perpetual and irrevocable."" This means that once granted, these licenses will continue to be in effect indefinitely and cannot be revoked by BLI, even if the underlying contract is terminated.

Conclusion: The clause effectively creates irrevocable and perpetual licenses for Ginkgo, subject to the terms and conditions of the contract, as no conditions are specified for revocation or termination of these licenses.",0.75,1.0,0.0,1.0,1.0,good,Accurate. Correctly reads the survival plus perpetual-and-irrevocable conversion on termination.
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement__Rofr/Rofo/Rofn_0,low_rubric_score,Rofr/Rofo/Rofn,ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement,"Richard Smith, MD will be given first consideration as a principal investigator for all new Product or Product- related clinical studies, in addition to other sites provided final site selection will be based on the best interest of the Project.","Issue: The clause addresses the priority of a specific individual, Richard Smith, MD, in being considered as a principal investigator for new clinical studies.

Rule: In contract law, particularly in the context of research and development agreements, clauses that grant a party preferential treatment must be clearly and unambiguously stated to avoid ambiguity and potential breach of contract claims.

Application: The clause grants Richard Smith, MD, first consideration as a principal investigator for all new Product or Product-related clinical studies. This preference is subject to the condition that final site selection must be based on the best interest of the Project. The clause does not specify the extent of this preference or the criteria for determining the best interest of the Project, which could lead to disputes over the interpretation of ""best interest.""

Conclusion: The clause provides Richard Smith, MD, with a preferential position as a principal investigator, but the lack of specific criteria for determining the best interest of the Project may create ambiguity and potential legal challenges.",0.75,1.0,0.0,1.0,1.0,good,"Accurate. Correctly characterizes 'first consideration' as a soft preference subject to the best-interest override, and flags the undefined standard."
"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT__Audit Rights_2",random,Audit Rights,"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT",Not more than one (1) audit will be required by any or all of the Participants for any fiscal year.,"Issue: The scope and limitations of audit rights among the Participants in a contract.

Rule: Contractual clauses that limit the number of audits to one per fiscal year are common and enforceable, provided they are clear and unambiguous.

Application: The clause limits the number of audits to one for any fiscal year. It does not specify whether this applies to all Participants collectively or to each Participant individually. The phrase ""any or all of the Participants"" suggests a collective limitation rather than individual limits for each Participant.

Conclusion: The clause effectively caps the total number of audits to one per fiscal year for all Participants combined, but it is unclear if this applies to each Participant individually or collectively.",1.0,1.0,1.0,1.0,1.0,minor_issue,"Conclusion contradicts itself in a single sentence: states the cap applies to all Participants combined, then says it is unclear whether it is individual or collective. Pick one. rubric_no_contradiction=1.0 missed this."
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement__Anti-Assignment_2",low_rubric_score,Anti-Assignment,"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement","This Agreement binds and enures to the benefit of the Parties, their successor or assigns, but may not be assigned by either  Party without the prior written consent of the other Party; provided however, CERES shall have the right to assign its rights and obligations under  this Agreement to any AFFILIATED COMPANY without such prior consent.","Issue: The scope of assignment restrictions in the contract and exceptions for affiliates.

Rule: Generally, a contract may include provisions that restrict the assignment of rights and obligations without the consent of the other party. However, such restrictions must be clearly stated and are subject to the principle of reasonableness. Exceptions to these restrictions are permissible, particularly for assignments between related entities.

Application: The clause restricts the assignment of rights and obligations by either party without the other's consent. However, it allows CERES to assign its rights and obligations to an affiliated company without such consent. This exception is specifically defined as an assignment to an ""AFFILIATED COMPANY.""

Conclusion: The clause effectively restricts assignment while allowing a specific exception for assignments to affiliated companies, which is a common practice in contract law to maintain control over the contractual relationship.",0.75,1.0,0.0,1.0,1.0,good,Accurate. Correctly captures the mutual consent requirement and the one-sided CERES affiliate exception.
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT__Volume Restriction_0,random,Volume Restriction,ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,"Quantity of capacity to be released: Max 13,370 Dfli/Day,                                Min 13,370 DthDay.","Issue: The interpretation of volume restriction clauses in contracts.

Rule: Volume restriction clauses typically limit the maximum and minimum quantities that can be delivered or produced, ensuring neither party breaches the agreed-upon limits.

Application: The clause specifies a maximum and minimum quantity of 13,370 Dfli/Day and 13,370 DthDay, respectively. This indicates that the contract is likely for the delivery or production of a specific commodity, where Dfli and DthDay are units of measurement. The contract ensures that the quantity does not fall below or exceed these limits.

Conclusion: The clause effectively restricts the volume of the commodity to be released within a daily limit, ensuring compliance with the agreed-upon quantities.",0.875,1.0,0.5,1.0,1.0,minor_issue,"Describes max and min as though they bound a range when both values are 13,370, i.e. a fixed quantity. Also repeats the Dfli/DthDay unit inconsistency without noting it. Duplicate of the clause reviewed under Minimum Commitment - dedupe before training."
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement__Liquidated Damages_7,random,Liquidated Damages,SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement,"In this case, Party B shall pay additional deposit equivalent to the liquidated damages when it pays the liquidated damages.","Issue: The interpretation of a clause that requires the payment of both liquidated damages and an additional deposit.

Rule: Under contract law, liquidated damages are a pre-arranged sum intended to cover a specific type of loss or damage that would be difficult to prove or quantify after a breach. However, requiring the payment of both liquidated damages and an additional deposit is generally seen as an attempt to collect more than the actual loss, which may be considered a penalty and thus unenforceable.

Application: The clause requires Party B to pay an additional deposit equivalent to the liquidated damages when it pays the liquidated damages. This means that Party B must pay twice the amount of the liquidated damages, which could be seen as an attempt to collect a penalty rather than just liquidated damages. The requirement for an additional deposit may be viewed as an excessive punitive measure, which could render the clause unenforceable.

Conclusion: The clause may be unenforceable as it requires the payment of an additional deposit equivalent to the liquidated damages, potentially making it a penalty rather than a liquidated damages clause.",0.964,1.0,0.857,1.0,1.0,minor_issue,"Plausible but likely misread. 'Additional deposit equivalent to the liquidated damages' most likely means topping the security deposit back up after it is drawn down, not a double payment; target builds an unenforceable-penalty conclusion on the double-payment reading. Fragment gives no context either way, so the confident conclusion is not warranted."
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement__Anti-Assignment_1,low_rubric_score,Anti-Assignment,AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement,substantially all of its assets relating to the Spoken-Word Audio Sub-Section; provided that the assignee agrees in writing to be bound by all the terms and conditions of this Agreement.,"Issue: The scope and enforceability of the anti-assignment clause in relation to the assignment of assets.

Rule: Anti-assignment clauses are generally enforceable to prevent the assignment of certain rights or obligations without the consent of the other party. The clause must be clear and specific regarding the rights it seeks to protect.

Application: The clause restricts the assignment of ""substantially all of its assets relating to the Spoken-Word Audio Sub-Section,"" which is a specific and limited scope. The assignee must also agree in writing to be bound by all terms and conditions of the Agreement, ensuring that the assignee is fully aware of and agrees to the terms.

Conclusion: The clause effectively limits the assignment of specific assets and requires written agreement from the assignee, thereby fulfilling the primary purpose of an anti-assignment clause.",0.75,1.0,0.0,1.0,1.0,bad,"Inverted. This fragment is the permitted-assignment exception (assignment of substantially all assets, provided the assignee assumes the agreement); target reads it as the restriction itself and says the clause 'restricts the assignment' of those assets. Drop or regenerate."
"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT__Governing Law_0",random,Governing Law,"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT","The Parties agree that, except to the extent governed by the United States Trademark Act of 1946 (Lanham Act; 15 U.S.C.  lj 1050 et seq.), as amended, this Agreement will be governed by the laws of the State of New York without recourse to New York choice of law or conflicts of law principles.","Issue: Governing Law and Exclusion of Federal Statute

Rule: In contract law, the choice of governing law is generally determined by the parties' agreement, subject to the exclusion of certain federal statutes. Federal statutes, such as the Lanham Act, may apply even if the parties choose a different state's law.

Application: The clause indicates that the Agreement's governing law is New York state law, except for trademark matters, which are governed by the Lanham Act. This carve-out for federal law is consistent with the principle that federal statutes, including the Lanham Act, preempt state law in the specific area of trademarks.

Conclusion: The clause effectively incorporates New York state law for most aspects of the Agreement, while ensuring that trademark-related issues are governed by federal law, as intended by the parties.",1.0,1.0,1.0,1.0,1.0,good,Accurate. Correctly handles the Lanham Act carve-out and the exclusion of NY conflicts principles.
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Governing Law_0,random,Governing Law,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,"Except to the extent governed by the U.S. Trademark Act of 1946 (Lanham Act, 15 U.S.C.  ""1051 et seq.),  this Agreement,  the other agreements  referred herein,  and the offer and the sale of the  franchise  shall be  governed in all respects  and  aspects  by the  laws of the  Commonwealth  of  Pennsylvania  and expressly  excluding  the laws  pertaining  to the choice of law and conflict of laws.","Issue: The jurisdiction and applicable law for the agreement, particularly the exclusion of certain laws.

Rule: Contract law generally requires that the governing law of a contract be clearly and unambiguously stated. The clause specifies that the Agreement, other referenced agreements, and the offer and sale of the franchise shall be governed by the laws of the Commonwealth of Pennsylvania, except as otherwise provided by the U.S. Trademark Act of 1946 (Lanham Act).

Application: The clause excludes the application of the laws pertaining to the choice of law and conflict of laws, as it explicitly states that the Agreement and other agreements shall be governed by Pennsylvania law, except to the extent governed by the Lanham Act. This exclusion is clear and specific, limiting the applicability of Pennsylvania law to the extent that the Lanham Act governs trademarks.

Conclusion: The clause effectively limits the applicability of Pennsylvania law to the Agreement and other agreements, except where the Lanham Act applies, and excludes the choice of law and conflict of laws provisions.",1.0,1.0,1.0,1.0,1.0,minor_issue,"Muddled. The 'as' in the Application makes a non-sequitur, and the Conclusion says the clause 'limits the applicability of Pennsylvania law' when it establishes PA law as governing. Same clause type as the New York example in this sample, which is handled correctly - useful contrast."
Apollo Endosurgery - Manufacturing and Supply Agreement__Notice Period To Terminate Renewal_0,low_rubric_score,Notice Period To Terminate Renewal,Apollo Endosurgery - Manufacturing and Supply Agreement,This Agreement shall commence on the Effective Date and shall be valid for a period of five (5) years with automatic renewal of one year thereafter until terminated,"Issue: The scope and enforceability of the automatic renewal clause in the contract.

Rule: Automatic renewal clauses are generally enforceable under contract law, provided they are clearly stated and do not violate public policy or contain unreasonable terms.

Application: The clause states that the agreement will automatically renew for one year after the initial five-year term. This automatic renewal is explicitly stated and does not appear to contain unreasonable terms that would render it unenforceable.

Conclusion: The clause is likely enforceable as it clearly outlines the automatic renewal period and does not suggest any unreasonable conditions that would invalidate it.",0.7,1.0,0.8,1.0,0.0,bad,"Never addresses the labeled issue. Category is Notice Period To Terminate Renewal; the clause is truncated at 'until terminated' before any notice period appears, and the target discusses only whether auto-renewal is enforceable. Nothing in the output is about notice. Drop or re-chunk to include the notice sentence."
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT__Exclusivity_1,random,Exclusivity,LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT,Schoolpop shall have the exclusive right to resell Cards in                   the NPO Marketplace.,"Issue: The exclusivity clause in the contract defines the rights of Schoolpop to resell Cards in the NPO Marketplace.

Rule: In contract law, an exclusivity clause grants a specific party the exclusive right to perform a particular action, thereby preventing other parties from engaging in that same action within the scope of the contract. This type of clause is common in sales and distribution agreements to ensure that one party has a monopoly on certain activities.

Application: The clause states that Schoolpop shall have the exclusive right to resell Cards in the NPO Marketplace. This means that Schoolpop is the sole entity permitted to resell Cards in this marketplace, and no other party can engage in this resale activity without Schoolpop's consent.

Conclusion: Therefore, the contract restricts the resale of Cards in the NPO Marketplace to Schoolpop exclusively, thereby preventing other parties from reselling Cards in this specific marketplace.",1.0,1.0,1.0,1.0,1.0,minor_issue,"Correct on exclusivity, but adds that no other party may resell 'without Schoolpop's consent'. The clause grants Schoolpop an exclusive right; it does not make Schoolpop the gatekeeper who can license others in. Unsupported addition."
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT__Affiliate License-Licensor_1",random,Affiliate License-Licensor,"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT","Subject to the terms and conditions of this Agreement, and in consideration for the payments to BLI under this Agreement, during the Term, BLI, on behalf of itself and its Affiliates, hereby grants and shall grant to Ginkgo a non-exclusive, sublicensable (solely in accordance with Section 9.1.4 (Consent to Sublicense)), non-transferable, non-royalty-bearing (subject to Section 13.3.2 (Effects of Termination Based Upon Ginkgo Buy-Down Election)) worldwide license in, to and under (i) BLI Background IP, and (ii) other Intellectual Property that is Controlled by BLI and that is [***] BLI Inventions, with both of (i) and (ii) being limited to what is necessary for Ginkgo to [***] and (iii) the Collaboration Intellectual Property solely to:

(a) perform research [***] on biological entities, including organisms, cells and strains (and sub-components thereof);

(b) (i) design and develop (A) Collaboration Workflows as generally contemplated under a Workflow Development Plan and (B) Ginkgo Workflows as permitted under this Agreement and (ii) use [***] Workflows to conduct the activities set forth in clause (a) and clause (c) of this Section 9.1.1 (Scope of Grants);

(c) perform commercial research [***] and other Commercial Services for Third Parties; and

(d) in each case of clauses (a) through (c) of this Section 9.1.1 (Scope of Grants), the license granted is for activities solely within the Licensed Field.","Issue: Scope and Nature of the License Grant

Rule: In contract law, a license grant typically specifies the rights granted, the subject matter, and the limitations thereof. Licenses are generally non-exclusive unless stated otherwise, and can be sublicensable, transferable, or non-transferable depending on the terms of the agreement.

Application: The clause grants Ginkgo a non-exclusive, sublicensable, non-transferable, and non-royalty-bearing license to use BLI Background IP and other Controlled Intellectual Property, subject to the terms of the agreement. The license is limited to activities within the Licensed Field and is necessary for Ginkgo to perform research, design and develop workflows, and conduct commercial research and other commercial services.

Conclusion: The clause effectively outlines the scope of Ginkgo's rights to use BLI's intellectual property for specific research and commercial activities, subject to the terms and conditions of the agreement.",1.0,1.0,1.0,1.0,1.0,good,"Accurate. Faithful summary of a long, heavily redacted grant, including the sublicense condition, non-transferability, and the Licensed Field limitation."
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__Joint Ip Ownership_0,low_rubric_score,Joint Ip Ownership,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),"In the  event it is not clear as to ownership of any Improvement as described in this Section 5.2, in other words, if it is not clear whether an  invention or discovery is either a Bioamber Improvement or a Cargill Improvement, such Improvement shall be [***] and such Improvement  shall be designated ""Joint Improvements"".","Issue: Clarification of Joint Intellectual Property Ownership in the Absence of Clear Attribution

Rule: In contract law, particularly concerning intellectual property (IP) ownership, clauses are often designed to address ambiguities in the creation of new IP. When the exact contribution of each party is unclear, joint ownership is a common resolution to ensure both parties' interests are protected.

Application: The clause in question addresses the situation where the clear ownership of an improvement, which could be attributed to either Bioamber or Cargill, is not ascertainable. By designating such an improvement as ""Joint Improvements,"" the clause ensures that both parties will share the rights and responsibilities associated with the improvement, thereby avoiding potential disputes over ownership.

Conclusion: The clause effectively navigates the ambiguity of unclear IP contributions by establishing a default mechanism for joint ownership, ensuring that both Bioamber and Cargill have a stake in the improvements that are not clearly attributable to one party.",0.75,1.0,0.0,1.0,1.0,good,Accurate. Correctly identifies the default-to-joint-ownership mechanism for unattributable Improvements despite the [***] redaction.
